bo,title,genres,budjet,year,rating,peoplesID,mid,date
1189975,Batman: Mask of the Phantasm,"Action,Animation,Crime,Family,Mystery,Romance,Sci-Fi,Thriller",6000000,1993,17806|7.6|0000001212,|17808|39762|40951|42236|42538|42643|52662|10457|66622|67532|84973|89942|91451|95378|101854|120281|133043|137396|140642|141759|160159|168255|7343|183871|185379|195172|212799|34956|233724|17808|21981|25173|29125|13656|33078|33997|14497|36576|38204|10092|12428|13489|13656|13744|14497|,235,1993/12/26
85046,Tyson,"Documentary,Sport",0,2008,8001|7.5|0000002311,|14506|45385|45783|48571|52892|53841|57809|58586|61193|62678|67429|67639|67987|69298|69346|69552|72174|74399|75348|80961|84613|87343|94551|94649|95037|97664|102797|103567|107016|109022|109705|110540|111505|114494|116669|119311|119331|125421|129197|129262|137851|140237|141222|144224|145405|151633|155492|156109|156812|157738|157889|158218|36504|161136|164346|164365|6628|191255|231265|231412|233348|233591|15531|16835|21203|21312|23478|25082|12187|5|30266|6628|33593|14506|36504|37432|38111|14506|2204,6138,2009/4/26
2519,Duane Hopwood,"Comedy,Drama",0,2005,1835|6.6|0000012101,8234|13200|56019|58936|62649|75423|80485|82064|82563|87391|87589|102224|12486|117838|138780|144170|14045|154176|155669|159780|163786|6703|170344|181577|184715|189512|190359|192623|206172|213727|217894|218462|223208|227241|231190|234946|21916|26839|28447|34759|35674|36477|36503|36999|13200|2957,4179,2005/11/13
10052,Direkt?ren for det hele,Comedy,3913200,2006,6244|6.6|0000012200,|3613|45405|193|39410|77532|11529|83239|95235|134626|3613||192833|195876|206129|210522|17920|21608|25022|25152|25155|28222|34444|34708|37783|3613|,5031,2007/5/27
1881,Up for Grabs,"Comedy,Documentary",0,2004,188|7.6|.000002311,|14891|47517|55439|91738|133791|140990|37701|||1726|27566|31074|31381|32612|37929|14891|14891|1726|2854|3182,4439,2005/5/8
882667,Namastey London,"Comedy,Drama,Romance",0,2007,4769|6.8|0000012211,8286|42000|42953|70233|72505|87800|88528|5|98553|101211|26586|105868|123064|130617|135595|146533|150846|164935|6102|6633|171789|183549|184446|184856|186583|194804|196139|198014|199464|212492|225127|233002|18838|26761|14095|34603|14095|315,5483,2007/4/1
32657,Sous le sable,"Drama,Mystery",0,2000,5165|7.1|0000012210,7984|38919|11084|13422|42671|44065|47381|67195|68263|74447|87893|107215|13326|133911|150006|159928|6707|175239|181567|190500|190774|203265|205923|207911|210145|219359|227806|228981|229730|20030|29474|13422|1538|1904,2400,2001/5/6
504897,Salaam Namaste,"Comedy,Drama,Romance",0,2005,3121|6.2|0000111101,7772|8375|9269|10105|14580|10105|47029|48282|10190|15783|49210|16772|63025|20628|78632|11864|96196|97779|102948|25934|103123|127721|31906|141746|143723|146009|147167|160175|162081|168190|4578|6102|6103|6603|173998|179332|180708|191890|195654|5|199704|202267|218146|218480|221846|236463|236835|16772|10821|10825|20628|26847|10105|2616,4875,2005/9/11
57338,The Gatekeeper,Drama,0,2002,166|4.7|1001110101,9404|11518|57908|61739|11518|86271|86272|109033|117031|130453|135410|136470|141034|156735|5000|169122|173899|30552|20370|11518|24380|27796|11518|824,3206,2003/7/20
5518,Sang sattawat,Drama,0,2006,1769|7.4|0000011211,|14763|96499|100678|100681|100965|100970|121092|126132|129823|134925|153010|155130|156197|162355|165757|3906|179483|218102|218198|222588|223410|15208|16088|21409|23191|29027|36075|14763|37436|14763|2388,5121,2007/4/22
7018593,Summer Catch,"Comedy,Drama,Romance,Sport",34000000,2001,9721|4.7|0001211000,9329|39965|11597|43977|45915|51408|54856|59176|59538|66108|70640|70798|72251|20901|22058|83820|84115|85454|86903|87919|90997|93572|93969|95229|101028|102004|102202|103607|110019|110111|111525|111854|114130|114149|117604|131135|131455|134618|32365|137857|140295|151902|153246|158732|37143|4878|7292|170821|174094|179614|182424|184765|185506|190300|192570|192612|203584|212661|224571|232983|22058|11597|13779|14510|14771|14510|3372,2336,2001/8/26
23105133,Monster-in-Law,Comedy,60000000,2005,28104|5.2|0001221000,7712|41128|15634|48997|60159|75366|83728|87310|98401|103854|118164|122946|30124|125891|134177|144816|144845|151353|156701|159437|6295|5|169452|172462|188585|188792|189330|193003|194220|195048|27778|208230|208662|209737|216037|217968|217969|221313|221992|227840|228214|228808|231278|232988|235889|16500|17394|20937|21595|26016|35062|37333|12754|502,3824,2005/5/15
142462,Shaadi Karke Phas Gaya Yaar,Romance,0,2006,353|3.5|2100000001,|10034|40826|49417|73322|101215|41047|142953|146527|3878|5929|170055|179136|199798|202265|5|202673|223021|225138|229753|18674|25878|31137|10034|2801,4574,2006/8/6
5611707,Maximum Risk,"Action,Adventure,Crime,Thriller",25000000,1996,11104|5.1|0001221000,9337|40002|44345|46042|47164|48809|51499|52436|57806|58221|59183|64559|67528|72218|73098|74864|75550|77791|82965|86119|87846|92366|97247|97786|100917|101064|101160|101456|101636|101682|104818|105485|110158|111602|113245|114432|119521|120485|120606|122253|123478|125131|131146|132424|132990|135269|135542|140741|141492|142217|144559|145288|145559|148672|155655|157974|14603|159058|159092|166105|167638|168335|4911|171193|173737|178888|184641|195237|207252|209780|213222|216509|218760|220465|226058|16852|18779|20207|20208|29968|36669|12545|1315,629,1996/9/15
38107822,Ocean's Eleven,"Crime,Thriller",85000000,2001,245271|7.7|0000002311,8743|23181|24|45719|46047|46050|46054|53064|55353|56958|10667|60408|61507|61735|18545|10860|67970|68549|69050|19666|71868|75415|79872|79923|82429|83236|4974|86827|22973|87949|89613|92873|94954|97527|98495|98620|99508|100753|104214|104906|105208|106235|106263|106859|107837|108866|109705|41516|114137|114251|114307|115157|119331|119705|120065|125623|126393|130342|130797|131560|131695|132063|132862|31549|133345|135138|135184|136978|13720|139354|139382|139757|140304|142043|144623|144672|147583|149397|3250|149557|149846|149847|151135|151327|151624|156358|161915|162267|37339|163256|38258|5330|169041|170997|174247|177730|180867|184609|188568|188622|189961|191911|205696|210276|32568|228731|16628|20848|23701|27820|37339|3250|3250,2396,2001/12/9
154524,Dog Park,"Comedy,Romance",0,1998,1748|4.9|0001211000,9094|12953|48069|50136|52712|5|69110|82403|94974|98014|99072|113011|12953|118087|118301|130534|143924|144559|164470|14837|4069|6329|178069|188451|190359|194642|195237|197521|204096|211713|211786|221022|228510|235788|18348|27254|33218|12953|2116,1380,1999/9/26
89563,Ulee's Gold,Drama,2700000,1997,4580|7|0000012210,9883|13342|56990|59512|60778|79965|80270|80652|80763|115012|115061|145840|162608|163728|165853|4813|174094|185804|220480|236795|22957|27603|3035|33516|34707|36034|13342|2316,1100,1997/6/15
40457770,The Mummy: Tomb of the Dragon Emperor,"Action,Adventure,Fantasy,Thriller,Horror",145000000,2008,74489|5.2|0001221000,8488|22940|29302|47983|48602|56700|60365|62202|64075|64120|64205|64411|64437|64622|69010|76048|77708|80924|21808|85419|88385|90309|93905|95515|96322|98921|106108|106691|106702|109565|27476|109916|110795|111684|112259|114721|114726|128371|135466|144061|151009|152889|154607|157102|160518|161063|162734|165414|165659|165726|166288|166299|166312|166710|4771|173237|184058|187858|196305|204351|205178|205547|205704|210072|30131|215851|225014|228525|229181|230984|234336|236154|17447|19691|20578|24600|24933|27099|27192|31333|31548|32311|14264|35503|36391|38055|10869|918,5744,2008/8/3
28268,China: The Panda Adventure,Drama,0,2001,145|5.9|0000121001,9465|9973|38633|40522|32845|37608|16616|91774|129882|166468|4771|173237|19084|20998|21486|22318|24526|28826|37608|14925|3245,2566,2001/7/29
32001,City Island,"Comedy,Drama",6000000,2009,18816|7.4|0000012310,8182|11072|46144|47854|47856|51105|55961|57316|60869|64834|66782|71747|72088|73368|74615|20510|76403|78691|4974|104051|107353|114603|115954|116338|120294|120899|124006|124658|140134|144536|152163|5537|170356|175910|179658|180784|181209|186219|190263|191322|193789|196879|198914|203192|207485|212209|220268|222828|228149|235118|15598|17413|11072|19901|19935|20241|20510|20730|4974|22155|22259|22457|23482|26277|28600|28671|32542|33280|33889|34974|36791|37094|11072|527,6488,2010/3/21
1340,You're Gonna Miss Me,"Documentary,Music",0,2005,550|7.6|0.00002311,||66014|76749|77495|77496|84762|91855|92338|110892|6182|161653||186976|193518|226429|20133|23248|23728|24419|12937|2278|32978|12937|755,5470,2007/6/10
138261,Mela,"Action,Drama",0,2000,1558|3.5|2111000001,8673|5|38943|11039|39837|14666|44809|5|49028|49029|51294|90451|101201|12393|102947|102958|103010|103060|103124|105512|109389|130594|136259|145759|147329|148093|148098|153893|158466|159905|159912|5928|7021|171425|179806|25944|5|213970|219215|225826|25020|29476|11039|1758,2316,2000/1/9
3181,Universal Soldier: Day of Reckoning,"Action,Sci-Fi,Thriller",11500000,2012,8256|5.1|1001111001,8930|20167|20208|23121|12109|41313|41542|42703|44707|47867|52874|54416|66842|68824|74456|75262|77824|89931|98237|98620|99643|102049|112117|115802|117078|124843|136574|137793|139840|140847|142855|145796|147298|147488|154507|158862|14603|159190|161225|161992|5679|175044|184505|186282|186978|198975|207303|214118|224049|226638|16220|16296|17768|19665|20208|21784|22423|31711|32080|34127|34677|14259|37036|12109|1983,7605,2012/11/30
102456,My First Mister,"Comedy,Drama,Romance",0,2001,4068|7.1|0000012211,9784|40101|10573|58173|59064|66910|67507|81135|86430|90838|6059|129561|140336|34514|150647|166359|6529|169423|174458|175685|196860|199610|12541|217013|217092|217844|222552|223680|224097|34867|231510|16289|16826|18604|21186|22732|23061|24749|26621|12515|31892|32876|34908|36742|12541|1654,2115,2001/10/14
7043,Under Our Skin,Documentary,0,2008,714|7.6|0.00000006,||112686|149060|6083|175668|196908|233299|19953|20513|28787|29731|30265|3725|3725|3725,6595,2009/6/21
6051,Soft Fruit,"Comedy,Drama",0,1999,415|6.5|0000012211,8526|10130|53888|59754|61352|75798|77883|81596|87830|88131|89357|93475|96005|120546|120598|120608|127548|140870|162526|6427|174276|177350|184898|185547|196420|204229|210877|229051|17239|10692|10130|179,1872,2000/3/19
52179887,"I, Robot","Action,Mystery,Sci-Fi,Thriller",120000000,2004,220762|7|0000013200,8667|38691|22757|43602|49738|63845|68427|74369|81018|87530|87718|89703|91398|91883|92226|100142|106300|109700|114446|116653|121036|122010|146956|34830|150671|151642|157807|160425|161423|161595|162156|162670|168552|4085|181632|181943|186100|196057|206175|211629|212394|220365|229616|234703|236469|19796|20481|22666|25980|26926|28391|28882|32755|34111|34830|13629|918,3558,2004/7/18
10786,Y'aura t'il de la neige ? No?l?,Drama,0,1996,517|6.8|0000012210,9388|39666|14637|61177|62990|64172|66258|75704|88613|96325|116007|139790|3907|207994|214235|217330|218426|220252|221197|221357|230707|232431|16012|14637|2048,737,1997/12/21
7680,Dreaming of Joseph Lees,"Drama,Romance",3059580,1999,588|6|0000111101,7978|41400|53929|60303|70441|73653|74389|76878|79787|83499|87294|90314|96795|99746|135261|140632|145401|147723|155431|156633|165877|6548|169235|182204|198019|198524|207481|212228|220472|23748|26579|29293|36021|14377|849,1512,1999/10/31
658614,Phat Beach,Comedy,0,1996,504|3.4|2111000001,9766|11321|41928|30562|30564|54358|5|73941|80341|94763|94846|108884|110539|117213|127462|144569|157128|159234|163086|7431|169929|173447|175779|179153|180739|183517|184177|190181|191480|192974|193843|199511|203668|205935|210171|5|217023|219967|24592|28264|30562|30564|14038|34324|11321|217|1940,655,1996/8/4
3018345,Dudley Do-Right,"Comedy,Family,Romance",70000000,1999,6180|3.6|1111100000,8593|43668|14836|47286|47881|48022|48709|50928|52688|53038|54666|57209|57695|58053|59614|59846|61275|63095|64567|68313|72575|81311|21808|81797|84051|86156|88339|90492|91189|96394|96576|97003|99936|100683|102036|107143|112717|112738|116847|121433|122017|123033|123561|124006|125497|132420|133399|133631|134728|137017|139411|143595|152616|152993|160701|164271|166977|4717|170754|173733|178395|178955|180293|11460|189723|191007|195632|196049|198628|202167|31053|216667|217964|219552|220294|220935|221207|223861|227243|236068|18202|19796|23751|24101|25534|29702|34578|14836|38444|14836|3466,1654,1999/8/29
5623373,Lords of Dogtown,"Biography,Drama,Sport",25000000,2005,29666|6.9|0000012211,8224|13515|44272|44540|46273|46274|46724|47112|49294|50635|52264|53995|54230|57668|59187|60252|63440|18732|69194|77250|77759|79253|80543|83819|84470|86443|90780|91635|92115|92677|93805|95054|95299|98178|101306|26254|104851|105722|107285|108300|113263|28219|114377|117486|117808|117831|117944|118691|121121|123353|124631|125711|126869|127864|129124|131291|13515|132145|136421|137453|138744|139281|144478|147086|147433|149013|152354|157604|159054|159765|159866|160421|161884|163221|163477|7526|6216|170852|173608|173799|174522|176976|19915|184548|21381|192047|194514|195910|197654|204884|205017|205337|207746|209021|215225|219372|219459|32210|223724|225549|226962|230497|232287|232359|232688|234326|236789|16120|20515|20918|11432|22873|27587|27588|34689|11870|771,3641,2005/6/5
39128715,The Grudge,"Horror,Mystery",10000000,2004,74042|5.8|0000121100,8035|9746|14142|35584|52021|97125|103965|104484|114377|116084|116095|122590|127983|127985|129109|129137|134942|135772|157703|168637|7512|174588|186037|189647|190666|201635|201637|206889|228198|236445|19829|20515|21984|24029|24769|25464|26105|27143|27795|31947|13661|34310|35788|14142|3775,4115,2004/10/24
1924860,Love in the Time of Cholera,"Drama,Romance",45000000,2007,13989|6.2|0000112101,7605|40198|40542|44913|45477|50402|51110|54219|17350|60321|60902|60933|61321|62312|75501|75880|76103|76807|82871|83302|83397|84939|95429|27187|110351|113302|128810|130304|130311|133646|141372|143409|14029|154371|156739|158317|159872|160235|168603|6503|170606|171097|173309|175195|175199|175270|177431|177942|178644|178705|178894|179675|182131|183394|188845|190197|191599|191663|194166|195379|198125|207328|207343|208071|210362|210632|211517|211882|211884|30189|215362|221295|221527|223830|224511|229046|231213|236923|20630|23132|23133|26928|26980|27903|29558|30189|30466|32542|33119|35239|13287|224,5197,2007/11/18
12524,Julia,"Crime,Drama,Thriller",6000000,2008,3623|6.9|0000012210,9118|39027|39477|42450|14981|46508|38863|53733|59895|59948|64764|68801|68809|70807|73211|83308|22561|86816|103312|104592|41137|109248|122405|130006|132110|133742|136611|141167|147651||5|173687|183800|186755|196450|199794|203666|213218|220366|35653|229189|232328|15918|17769|21152|22388|25928|27819|28446|30193|31616|33850|34880|36187|14981|1932,5856,2009/5/10
507226,Doubt,"Drama,Mystery,Short",20000000,2008,66566|7.5|0000012310,9474|12279|14102|43814|44692|46144|46486|46800|58247|65507|67566|67947|72764|73821|73987|79960|81190|12019|100472|102557|109646|110554|115598|118794|122252|127128|127496|133649|133938|135085|138283|140850|146132|154725|156612|159432|160303|6289|6947|168934|173001|174669|176395|176796|176998|178890|178959|179600|179996|180125|181444|183191|184569|184724|185262|185535|186073|188665|188666|188667|191187|195496|197278|199102|205463|205628|213344|215878|216476|218534|220737|224542|224996|225597|226537|227643|228181|228777|229290|231936|232511|19270|25427|12279|26708|33017|33072|34656|36609|37142|37144|12279|14102|797|3535,5889,2008/12/14
310562,Tinker Tailor Soldier Spy,"Drama,Mystery,Thriller",30595800,2011,91383|7.1|0000012210,8191|27029|42113|43238|50951|58298|68771|68919|20083|75830|79910|87075|87076|89299|90607|93584|93691|94890|96166|98351|99975|102890|103117|103587|105187|106180|27029|110775|28756|117904|123293|126036|127189|30677|134682|143412|146390|152384|152472|166369|5402|176995|178183|187395|190944|199857|200724|204929|207682|222716|227801|232113|232849|235775|16739|17359|18516|19298|21315|21335|23548|23910|11979|27029|29726|32594|34712|35591|36560|10077|3563,6978,2011/12/11
4255423,People Like Us,Drama,16000000,2012,14278|7|0000013211,10001|12514|26778|30745|46231|50637|52229|57723|58461|58812|59270|59573|62816|63780|69318|74775|11259|78513|11397|83626|87016|87584|89726|95075|96310|96767|96963|102360|107084|107727|108629|120502|121210|127349|128778|130298|132955|135264|142823|148198|149346|155653|155740|159644|162846|164307|165351|165980|168569|6581|10258|172595|172721|175542|178651|178853|183814|187655|194197|195765|204427|209469|210627|211727|212067|31417|32421|224875|225481|228025|228315|230531|234647|236284|18352|18940|12514|26778|30745|36281|12514|3494,7703,2012/7/1
1924,Badland,Drama,10000000,2007,357|5.6|0000001112,|12749|44475|48789|56192|60808|61378|64688|66844|67383|74690|88167|96108|96953|101337|109941|112074|114344|122869|128273|136720|138046|145080|157496|163622|164918|4730|168914|181091|189708|5|202460|224877|232072|232073|234165|15358|16873|20623|23340|24506|27891|30244|32755|34111|12749|3575,5283,2007/11/30
10066508,Seven Years in Tibet,"Adventure,Biography,Drama,History,War",70000000,1997,60958|6.8|0000013200,9502|40528|40900|47494|53766|54923|63270|5|63964|64349|72335|72776|74011|76057|81701|89305|98107|105472|108894|112144|126817|126955|31549|136509|138501|138503|138505|138507|146749|146754|154689|154867|155220|156640|157644|157646|157666|157700|161784|161789|161792|165662|165737|167300|168004|7430|182806|216768|231066|10137|16705|22855|29857|30310|34770|35562|35707|37677|10137|1123,1032,1997/10/12
42449,Earth,"Drama,Romance,War",0,1998,3929|7.6|0000001212,9763|13012|43034|5|50213|64391|64396|64457|82744|88269|97028|97779|97812|99038|101204|12393|103050|103060|105884|105890|113709|118855|118885|124427|124903|126123|132105|134267|135903|142620|146529|148067|148143|148151|166557|167654|167656|6581|5|171423|172736|179772|191001|197923|208332|219293|43034|233169|15744|23570|28612|13012|29069|35540|13012|2491,1569,1999/9/12
23234394,This Is It,"Documentary,Music",60000000,2009,25753|7.2|0000001112,7900|8776|9792||45241|51148|4064|62757|74053|78139|85034|87156|89990|94325|94415|94634|97558|98048|99135|104038|121275|128496|13406|132574|133338|137162|150713|151186|157722|4064|169902|170535|175839|181641|191827|195685|207605|5|217081|222146|227494|233199|233854|4064|17318|18921|20272|21269|22803|28788|29055|13406|31175|31456|33393|13406|2543|2621,7233,2009/11/1
28681000,James and the Giant Peach,"Adventure,Animation,Family,Fantasy,Musical",38000000,1996,30588|6.7|0000022100,9644|39015|39600|12430|42630|52662|60525|67966|68909|73335|20537|85345|90251|103779|122979|124564|133949|151018|154980|155220|166898|6297|185819|196671|204043|206010|207481|221727|33425|227773|231288|10645|20203|20746|20953|32824|14070|14070|1824|2428,586,1996/7/21
55851,Married Life,"Crime,Drama,Romance",12000000,2007,6211|6.3|0000122100,8119|38968|13187|13915|55030|17536|66831|66936|80581|101909|102346|128314|138204|150656|158228|162593|37422|5300|175546|180236|180455|181783|185425|185614|188523|200582|207676|208689|216373|220748|227747|234756|22783|24495|26041|27632|28100|30296|30319|13915|34383|35345|36197|13915|815,5524,2008/3/9
19104303,"Crazy, Stupid, Love.","Comedy,Drama,Romance",50000000,2011,196135|7.4|0000012311,9320|21604|48501|10227|54985|59785|60228|18137|70138|77202|84320|22920|88132|89487|89633|23800|95044|96287|105985|108547|111133|112367|114835|125927|128558|129337|142608|144403|151479|160246|163983|4069|7262|168771|172111|172411|176230|176437|178624|178778|181245|181641|182746|184857|188595|188793|192966|194442|197114|5|198006|200741|200845|201022|202490|203145|204593|205152|208333|209065|210119|210539|210540|211338|211684|212496|213315|216134|217802|218073|219794|228022|228036|230003|230312|230511|230871|233044|235228|235682|235857|236391|17571|18137|19999|20203|23717|23800|34423|11418|13734|926,7415,2011/7/31
8000,Looking for an Echo,Drama,0,2000,206|6|0000011112,8083|11054|40303|40590|46189|48442|49973|55538|59878|69706|71688|72235|78771|84412|84684|87916|94272|97716|102441|114619|115760|119709|119837|126676|126726|131290|151789|158671|7284|162842|164524|6264|7284|171050|181384|183426|21751|190909|192360|196288|27361|221491|224073|224145|225898|230976|232296|18708|11054|21039|25058|26618|27331|34681|36155|36411|11054|2313,1553,2000/11/12
52522,Boy Culture,Drama,500000,2006,2860|6.9|0000012211,8794|10565|31485|42572|15582|50405|50762|51346|53473|53747|54868|55978|10565|58973|60455|65697|67286|69507|74387|79798|80046|81669|81766|82731|84980|86060|89630|90833|94592|96137|99239|100014|103491|106619|8794|109114|111718|111922|112574|113300|122799|125227|130139|130295|138232|138324|143192|144992|146414|34545|149118|150586|151360|151987|155537|156759|157259|158827|159715|161396|165536|4129|170985|175343|193522|193832|195805|200771|207100|209362|211438|220141|222994|224885|231791|24270|24902|27686|31485|34545|10565|1432,4604,2007/4/1
17090474,Don't Say a Word,"Crime,Thriller",50000000,2001,30314|6.1|0000122100,9033|41015|26157|42263|38666|51603|54786|58596|60713|72657|72731|20469|74601|78587|82224|86391|96515|101455|108540|113243|121789|31572|136849|138837|144590|156844|159227|162079|164625|5421|185779|187075|188227|12181|203409|208471|208914|212661|225787|232585|16628|20489|23137|26157|26378|26379|29295|11457|2330,2630,2001/9/30
2276,The Moth Diaries,Horror,0,2011,2581|4.7|0011210000,|11892|41108|46835|56200|62167|86853|150262|4018|170059|171414|174911|180618|183283|187592|187770|189837|193366|193655|216016|223022|230191|19041|19503|20426|22475|24122|25505|25680|28514|30034|31808|32048|34706|11892|2776,7088,2012/4/22
6040860,Munich,"Drama,History,Thriller",75000000,2005,129516|7.6|0000002311,8607|40908|41187|42698|44222|44773|45665|45833|46380|46522|48134|10198|48884|50055|50425|50559|51156|51789|52434|53403|53546|54716|55384|56370|56865|59326|17874|60378|63727|65711|66151|19358|69322|69891|73556|74228|74503|76172|78983|21399|81915|82510|84729|85102|86416|88440|88586|89879|93691|97323|12334|102534|103125|103138|26244|105265|107689|107945|109420|109515|111192|112218|112808|114499|115298|116703|119098|119129|119522|119567|119603|123041|123078|124302|124623|124921|124988|127022|128399|129376|129377|131613|132331|134799|135262|141081|33107|142191|142241|142421|142429|142664|144047|145304|145305|145995|147073|147553|149594|149902|152687|153611|153642|154878|158631|160559|162077|162789|162792|163975|165459|166544|166580|167173|167615|167786|167950|167976|168332|168375|7430|168720|169785|169987|172960|173100|173107|175144|10600|178526|178828|179385|180527|182028|182886|185556|189785|190326|195039|197800|26149|207300|210082|215443|219670|226877|227083|228925|231229|234120|234126|235947|236487|236578|236921|25864|29133|34019|14282|37744|14282|1670,4288,2005/12/25
9317371,Looney Tunes: Back in Action,"Adventure,Animation,Comedy,Family",80000000,2003,15387|5.7|0000121000,9861|20504|41322|43859|45313|49071|49152|52662|52958|54557|60629|63078|19228|68935|69750|21808|81774|84942|85903|11683|86563|86986|87292|89440|89898|92656|100075|101451|103940|104070|106735|107167|107815|110111|114139|28528|116814|118070|120281|123677|127217|130017|131771|132630|132924|137887|139381|140041|32929|141806|150924|150925|154358|155701|160360|163001|163065|163211|165905|5060|182120|182321|185935|186557|188840|190367|192873|193676|197868|198582|205333|205832|207938|208780|211055|215241|219347|227056|228756|231394|231395|233996|234295|235144|235665|236451|19991|20504|11692|34223|34527|37333|11030|723,3300,2003/11/16
62196,Pippi Longstocking,"Animation,Comedy,Family,Musical",12479200,1997,623|4.8|0001110001,|41393|13319|43131|44979|55309|82285|88858|97448|101349|117714|133024|139395|147460|155362|161505|4109|4837|5|5671|169855|192140|194985|203259|205000|214567|218149|222478|16583|21341|22413|23466|24301|27811|31611|32455|13995|14236|37602|13995|14236|,997,1997/8/24
1740,Forgotten Silver,Comedy,650000,1995,3944|7.5|0000002211,|||||||,545,1997/10/3
972066,Becoming Jane,"Biography,Drama,Romance",16500000,2007,28885|6.9|0000012211,9011|38711|40704|43794|46812|53889|57690|58375|61428|68427|68867|80927|81347|83203|113296|116640|117813|124421|127290|130687|138098|138120|149230|149388|159537|5493|171023|178377|180556|181465|185152|194553|200567|203928|208525|209013|209418|210281|212670|214664|224572|226393|232182|233357|15017|15461|16678|16896|17474|17709|21472|21592|23826|30586|31993|33528|12190|429,4377,2007/8/5
2511,Los condenados,Mystery,1500000,2012,107|7.5|00.0000133,8730|10649|33656|43467|46720|61727|121561|159767|160060|6282|169870|169888|188804|192150|216684|221152|221245|230621|15673|10649|18391|29852|31180|32797|36512|36831|10649|3598,7969,2013/3/1
157624,Chocolat,"Drama,Romance",25000000,2000,101432|7.3|0000012211,8629|40531|40820|44467|47397|50873|66507|66841|20106|84941|5324|119226|121433|127205|129987|134298|140637|151893|152075|154197|165819|6533|174198|178050|178227|180884|181466|183872|184067|184958|191316|194580|206375|212281|214968|214981|229493|229841|236078|16965|17567|19186|22728|24417|31728|32012|37326|37328|11837|2743,2403,2000/12/17
24968601,Eight Below,"Adventure,Drama,Family",40000000,2006,30679|7.2|0000012211,9963|39757|40803|41180|42072|42769|44632|5|49252|52168|16806|60285|63021|81701|87718|99220|109485|133399|142465|144030|147791|151706|161316|165944|168334|5421|174679|177749|181846|5|209483|210295|222566|16063|16852|19447|24324|24893|25479|27143|27518|12875|12875|442,4160,2006/2/19
23808032,The Town,"Crime,Drama,Thriller",37000000,2010,174366|7.6|0000002310,8943|10039|39555|40678|35364|10039|47709|53028|53200|54168|55735|55961|56285|56566|59319|60306|60311|62512|66553|66936|67116|69058|69705|72136|78152|78949|80604|80692|80913|81203|81454|83035|83286|83770|23587|90405|96178|98113|102606|103945|107752|110852|111213|113338|113874|114124|115013|115356|115694|117053|118111|118173|118345|123803|123887|124983|127371|128305|128596|129502|131422|133949|134358|135066|137453|138483|140145|141737|143851|147680|148435|5|152417|152742|154359|154360|158640|160007|160135|163020|163546|165160|165257|165927|166893|4269|5116|177486|179293|179440|181833|183667|185773|186171|190862|191112|192364|193564|197273|205202|206138|206789|215652|219595|18240|19405|21247|24920|25094|26053|36436|10039|978,5679,2010/9/19
10086680,Serenity,"Action,Adventure,Sci-Fi,Thriller",40000000,2005,168733|7.9|0000001213,7947|14797|49861|76592|77555|79001|79006|79703|85482|90581|40654|95380|98238|103754|105638|106125|41497|113346|124806|127031|127060|127347|127483|141307|149184|154283|156087|157807|162807|14797|164773|165236|6295|171478|180353|191296|196757|203844|208866|216502|219572|221687|227290|229474|230631|233405|234572|235797|17690|27310|29133|35707|14797|1290,3956,2005/10/2
54556,Feast,"Action,Comedy,Horror,Thriller",3200000,2005,19205|6.3|0000012100,7715|11256|41775|68348|69878|82064|22392|88656|99989|119632|137079|139997|14569|163501|168486|4776|169698|183011|191537|193260|219588|222394|223641|232988|10039|10954|19666|25049|25387|25786|27047|28228|28229|28230|28231|28232|28233|29643|30764|34876|35787|35841|36736|37326|37328|11791|474,4519,2006/9/24
26650264,Resident Evil: Afterlife,"Action,Adventure,Horror,Sci-Fi",60000000,2010,88845|5.8|0000121101,8057|9654|10118|45200|54451|62708|18890|75092|85861|98153|100956|101098|101726|104567|104986|119814|29382|128319|131726|138017|139076|146903|156553|166658|166985|5|172284|187891|192975|199201|203264|205321|213062|214928|222154|10118|17086|18175|20828|23443|23444|26260|26585|29846|10118|2093,6643,2010/9/12
14000,La danse,Documentary,0,2009,353|7.4|0000001211,|||7126|7491||14859|14859|766,7269,2009/11/8
182943,More Than a Game,"Documentary,Sport",0,2008,2599|7.4|0000002212,|240|40677|67650|25039|100281|117567|157183|5996||15965|240|18248|20082|24842|25039|1622|28290|5996|31325|240|240|581|678|1386|1622|2072|2793,6834,2009/10/4
7210823,Gettysburg: Civil War Battles,"Action,Adventure,History",0,2003,7|4|4..4.....1,||||230346|36161||,4988,2003/12/1
2619,Tuya de hun shi,"Drama,Romance",0,2006,1537|7.1|0000012211,|41469|14719|5||220075|236387|22802|38091|14719|2837,5935,2008/4/6
27546,The Quiet,"Drama,Thriller",900000,2005,10427|6.4|0000112101,8632|30169|33743|48352|62635|67510|74088|82893|91018|91775|94595|94607|101459|105614|109385|155438|158637|6711|171735|173219|175925|177402|178580|182144|182171|19549|187446|196251|196257|198777|211141|217920|218935|233496|234882|235624|19549|29261|30169|31416|33579|33743|35030|37581|38188|10223|2392,4354,2006/8/27
